name;market cap;price
Bitcoin;$162,292,456,854;$8,838.84
Ethereum;$22,882,562,180;$206.54
XRP;$9,636,731,049;$0.218456
Tether;$6,400,476,663;$1.01
Bitcoin Cash;$4,501,593,730;$244.68
Bitcoin SV;$3,764,746,472;$204.64
Litecoin;$3,038,112,716;$46.99
Binance Coin;$2,641,961,673;$16.99
EOS;$2,554,084,731;$2.77
Tezos;$1,990,029,869;$2.81
Stellar;$1,475,284,388;$0.072552
Chainlink;$1,316,779,489;$3.76
Cardano;$1,286,960,276;$0.049638
TRON;$1,081,185,893;$0.016214
UNUS SED LEO;$1,068,453,438;$1.07
Monero;$1,061,841,586;$60.51
Crypto.com Coin;$1,003,038,787;$0.060412
Huobi Token;$924,116,592;$4.15
Ethereum Classic;$839,151,522;$7.21
Dash;$753,204,321;$79.48
USD Coin;$709,215,675;$1.00
Neo;$639,159,254;$9.06
HedgeTrade;$622,132,155;$2.16
Cosmos;$528,237,960;$2.77
IOTA;$513,274,836;$0.184662
